label_cn,synonyms
阶梯轴,stepped shaft
零件轴改,modified shaft part | revised shaft | shaft part revision
涡轮,worm wheel | worm gear wheel
蜗杆,worm | worm shaft
轴承,bearing
练习零件图,practice part drawing | exercise part drawing
装配图,assembly drawing
差动机构,differential mechanism | differential assembly
拨叉,shift fork | fork
旋转组件,rotary assembly | rotating assembly
挡板,baffle plate | shield plate | baffle
底座视图,base view | base plate view
泵,pump
泵盖图,pump cover drawing | pump cover view
轴承座,bearing housing | bearing pedestal
角钢,angle steel | angle bar
底板,base plate | bottom plate
支腿,support leg | supporting leg
零件一,part 1
零件七,part 7
零件三,part 3
零件九,part 9
零件二,part 2
零件五,part 5
零件八,part 8
零件六,part 6
零件四,part 4
机械平面图,mechanical plan drawing
机械制图,mechanical drawing
蜗轮蜗杆,worm gear | worm gear set
总装配,general assembly
后桥装配,assembly | rear axle assembly
机架,machine frame
圆柱滚子轴承,bearing
站架三视图,frame three-view drawing
夹具二维图,fixture 2d drawing
夹具二维图(,fixture 2d drawing
